patent_no,title,
7901521,Aluminum base alloy,
7897452,Method of producing a semiconductor device with an aluminum or aluminum alloy rear electrode,
7897266,"Personal grooming device having a tarnish resistant, hypoallergenic and/or antimicrobial silver alloy coating thereon",
7897132,Process for production of carbon alloy products,
7896222,Manufacture of shape memory alloy cellular materials and structures by transient-liquid reactive joining,
7895836,"Shape memory alloy actuator, apparatus for manufacturing shape memory alloy actuator, method for stringing shape memory alloy, and method for manufacturing shape memory alloy actuator",
7894165,"CCP magnetoresistive effect device with Fe barrier layers inhibiting diffusion of Co atoms to Heusler alloy layers in fixed layer and free layer, and head, head-gimbal assembly and hard disk system including said device",
7892678,Hydrogen absorbing alloy powder and nickel-metal hydride battery using the same,
7892653,"Titanium alloy composite material, titanium clad material using the titanium alloy composite material, and method of producing the titanium clad material",
7892650,"Magnesium alloy member, method for producing the same, and transporter comprising the same",
7892482,"Material on the basis of an aluminum alloy, method for its production, as well as use therefor",
7892366,Duplex stainless steel alloy and use thereof,
7892365,"Rare earth element-iron-boron alloy, and magnetically anisotropic permanent magnet powder and method for production thereof",
7888742,Self-aligned metal-semiconductor alloy and metallization for sub-lithographic source and drain contacts,
7888263,Cladded silver and silver alloy metallization for improved adhesion electromigration resistance,
7887975,Clad copper wire having environmentally isolating alloy,
7887747,High strength hard alloy and method of preparing the same,
7887584,Amorphous metal alloy medical devices,
7886535,Position control method for shape memory alloy actuator,
7884381,Light emitting device and method for fabricating the same including a back surface electrode with an Au alloy,
7883838,Organometallic composition for forming a metal alloy pattern and a method of forming such a pattern using the composition,
7883744,Use of a titanium-copper-nickel-based alloy,
7883591,"High-strength, high toughness Al-Zn alloy product and method for producing such product",
7883589,Free-cutting copper alloy containing very low lead,
7879459,Metallic alloy composition and protective coating,
7879453,"Alloy, in particular for a bearing coating",
7879165,Method for producing magnesium alloy plate and magnesium alloy plate,
7879161,"Strong, non-magnetic, cube textured alloy substrates",
7878459,"Aircraft systems with shape memory alloy (SMA) actuators, and associated methods",
7876530,Magnetic recording medium having a cobalt-based alloy film for high density recording and magnetic storage device using same,
7876199,Method and apparatus for controlling a skin texture surface on a device using a shape memory alloy,
7876012,Dynamo electric machine with an alloy member,
7875154,Preparation method of palladium alloy composite membrane for hydrogen separation,
7875134,Fe-based alloy having corrosion resistance and abrasion resistance and preparation method thereof,
7875130,Crude oil tank comprising a corrosion resistant steel alloy,
7875129,Method for forming a conversion layer on an aluminum alloy product prior to fluxless brazing,
7874432,"Protected alloy surfaces in microchannel apparatus and catalysts, alumina supported catalysts, catalyst intermediates, and methods of forming catalysts and microchannel apparatus",
7874412,Composite profile with a carrier body of alloy material and a profile strip and a method for production of the composite profile,
7871727,Alloy composition for lithium ion batteries,
7871686,Ag base alloy thin film and sputtering target for forming Ag base alloy thin film,
7871679,Getter metal alloy coating and device and method for the production thereof,
7871564,"High-purity Ru alloy target, process for producing the same, and sputtered film",
7871476,Magnesium alloy exhibiting high strength and high ductility and method for production thereof,
7867842,Method and apparatus for forming planar alloy deposits on a substrate,
7867625,Copper-tin-oxygen alloy plating,
7867464,Process for the storage of hydrogen using a system that strikes a balance between an alloy of alkaline metal and silicon and the corresponding hydride,
7866199,Method for manufacturing seamless steel pipe made of high Cr-high Ni alloy steel,
7863819,Metal halide lamp with adhesive layer sealing molybdenum/vandium alloy leadthrough,
7862931,"Lead-based alloy for lead-acid battery, substrate for lead-acid battery and lead-acid battery",
7862540,Ophthalmic injection device using shape memory alloy,
7861403,Current transformer cores formed from magnetic iron-based alloy including final crystalline particles and method for producing same,
7860220,"Molybdenum alloy; and X-ray tube rotary anode target, X-ray tube and melting crucible using the same",
7857916,"Co-Cr-Mo alloy fine wire, manufacturing method therefor, and planar body, tubular body, stranded wire and cable formed of wire",
7857189,"Gold alloy wire for bonding wire having high initial bondability, high bonding reliability, high roundness of compression ball, high straightness, and high resin flowability resistance",
7855021,"Electrocatalysts having platium monolayers on palladium, palladium alloy, and gold alloy core-shell nanoparticles, and uses thereof",
7855003,Ceramic and alloy anode solid oxide fuel cell,
7854787,"Method of removing coating from coated magnesium alloy product, method of making recycled magnesium alloy and method of recycling coating",
7854252,Method of producing a castable high temperature aluminum alloy by controlled solidification,
7852901,Method and apparatus for manufacturing high-purity alloy,
7852580,Actuation device having shape memory alloy component,
7852190,Shape memory alloy (SMA) actuation mechanism for electrical switching device,
7851930,Conductive adhesive compositions containing an alloy filler material for better dispense and thermal properties,
7851313,Semiconductor device and process for improved etch control of strained silicon alloy trenches,
7851085,Alloy compositions for lithium ion batteries,
7851070,Diffusion barrier alloy film and high-temperature apparatus member,
7850796,Aluminum alloy fin material for brazing,
7850795,Build-up wear-resistant copper alloy and valve seat,
7850791,Protective layer for an aluminum-containing alloy for high-temperature use,
7849909,"Production method of thermoelectric semiconductor alloy, thermoelectric conversion module and thermoelectric power generating device",
7847406,"Solder alloy material layer composition, electroconductive and adhesive composition, flux material layer composition, solder ball transferring sheet, bump and bump forming process, and semiconductore device",
7846273,"R-T-B type alloy, production method of R-T-B type alloy flake, fine powder for R-T-B type rare earth permanent magnet, and R-T-B type rare earth permanent magnet",
